Data_Item                                             Item_Description                                             UnitDecimal  US_Total    Minimum     Maximum     Source
STATECOU  FIPS State and County code
PST045212 Resident total population estimate (July 1) 2012                                                         ABS    0      313914040          71   313914040  CENSUS
PST040210 Resident total population, estimates base (April 1) 2010                                                 ABS    0      308747508          82   308747508  CENSUS
PST120212 Resident total population, percent change - April 1, 2010 to July 1, 2012                                PCT    1            1.7       -18.1        25.6  CENSUS
POP010210 Resident population (April 1 - complete count) 2010                                                      ABS    0      308745538          82   308745538  CENSUS
AGE135212 Resident population under 5 years, percent, 2012                                                         PCT    1            6.4         0.0        13.3  CENSUS
AGE295212 Resident population under 18 years, percent, 2012                                                        PCT    1           23.5         0.0        41.4  CENSUS
AGE775212 Resident population 65 years and over, percent, 2012                                                     PCT    1           13.7         3.6        49.3  CENSUS
SEX255212 Resident population: total females, percent, 2012                                                        PCT    1           50.8        30.1        57.0  CENSUS
RHI125212 Resident population: White alone, percent, 2012                                                          PCT    1           77.9         4.1        99.2  CENSUS
RHI225212 Resident population: Black or African American alone, percent, 2012                                      PCT    1           13.1         0.0        85.4  CENSUS
RHI325212 Resident population: American Indian and Alaska Native alone, percent, 2012                              PCT    1            1.2         0.0        93.2  CENSUS
RHI425212 Resident population: Asian alone, percent, 2012                                                          PCT    1            5.1         0.0        43.3  CENSUS
RHI525212 Resident population: Native Hawaiian and Other Pacific Islander alone, percent, 2012                     PCT    1            0.2         0.0        48.9  CENSUS
RHI625212 Resident population: Two or More Races, percent, 2012                                                    PCT    1            2.4         0.0        29.5  CENSUS
RHI725212 Resident population: Hispanic or Latino, percent, 2012                                                   PCT    1           16.9         0.2        95.6  CENSUS
RHI825212 Resident population: White alone, not Hispanic or Latino, percent, 2012                                  PCT    1           63.0         3.2        98.6  CENSUS
POP715211 Population 1 year and over by residence - same house, one year ago, percent, 2007-2011                   PCT    1           84.6        49.0       100.0  CENSUS
POP645211 Place of birth, foreign born, percent,  2007-2011                                                        PCT    1           12.8         0.0        63.4  CENSUS
POP815211 Population 5 years and over, percent speaking language other than English at home, 2007-2011             PCT    1           20.3         0.0        95.9  CENSUS
EDU635211 Educational attainment - persons 25 years and over - percent high school graduate or higher, 2007-2011   PCT    1           85.4        46.3        98.6  CENSUS
EDU685211 Educational attainment - persons 25 years and over - percent bachelor's degree or higher, 2007-2011      PCT    1           28.2         4.2        72.0  CENSUS
VET605211 Veterans - total, 2007-2011                                                                              ABS    0       22215303           0    22215303  CENSUS
LFE305211 Average travel time to work for workers 16 years and over not working at home, 2007-2011                 MIN    1           25.4         4.3        42.5  CENSUS
