fips,PST045212,PST040210,PST120212,POP010210,AGE135212,AGE295212,AGE775212,SEX255212,RHI125212,RHI225212,RHI325212,RHI425212,RHI525212,RHI625212,RHI725212,RHI825212,POP715211,POP645211,POP815211,EDU635211,EDU685211,VET605211,LFE305211,HSG010211,HSG445211,HSG096211,HSG495211,HSD410211,HSD310211,INC910211,INC110211,PVY020211,BZA010211,BZA110211,BZA115211,NES010211,SBO001207,SBO315207,SBO115207,SBO215207,SBO515207,SBO415207,SBO015207,MAN450207,WTN220207,RTN130207,RTN131207,AFN120207,BPS030212,LND110210,POP060210
00000,313914040,308747508,1.7,308745538,6.4,23.5,13.7,50.8,77.9,13.1,1.2,5.1,0.2,2.4,16.9,63.0,84.6,12.8,20.3,85.4,28.2,22215303,25.4,132312404,66.1,25.9,186200,114761359,2.60,27915,52762,14.3,7354043,113425965,1.3,22491080,27092908,7.1,0.9,5.7,0.1,8.3,28.8,5319456312,4174286516,3917663456,12990,613795732,829658,3531905.43,87.4
01000,4822023,4779745,0.9,4779736,6.3,23.3,14.5,51.5,70.0,26.5,0.7,1.2,0.1,1.5,4.1,66.6,84.5,3.4,5.0,81.9,22.0,403982,24.0,2182088,70.7,15.5,120800,1831269,2.53,23483,42934,17.6,97743,1573138,0.3,321641,382350,14.8,0.8,1.8,0.1,1.2,28.1,112858843,52252752,57344851,12364,6426342,13506,50645.33,94.4
01001,55514,54571,1.7,54571,6.5,26.0,13.0,51.3,78.5,18.4,0.5,1.0,0.1,1.5,2.6,76.4,84.8,2.0,3.8,86.5,21.6,5942,25.3,22460,77.7,7.2,137500,19998,2.68,25035,53899,10.9,835,10290,1.2,3062,4067,15.2,0.0,1.3,0.0,0.7,31.7,0,0,598175,12003,88157,385,594.44,91.8
01003,190790,182265,4.7,182265,5.9,22.6,17.7,51.2,87.3,9.6,0.7,0.8,0.1,1.5,4.6,83.2,83.3,3.7,5.4,87.9,27.2,20254,25.5,104701,76.2,23.3,175700,70757,2.50,27217,51321,12.5,4624,51386,0.4,16097,19035,2.7,0.4,1.0,0.0,1.3,27.3,1410273,0,2966489,17166,436955,1184,1589.78,114.6
01005,27201,27457,-0.9,27457,5.6,21.2,15.2,46.3,50.5,47.4,0.7,0.4,0.2,0.8,5.1,46.4,82.1,3.0,5.0,72.4,13.9,2167,23.4,11692,66.4,10.3,91600,9589,2.57,15899,34041,24.7,501,7572,-0.4,1513,1667,0.0,0.0,0.0,0.0,0.0,27.0,0,0,188337,6334,0,2,884.88,31.0
01007,22597,22919,-1.4,22915,5.4,21.6,13.9,46.0,76.2,22.3,0.4,0.1,0.1,0.9,2.0,74.6,90.7,1.3,2.0,75.9,9.8,1824,27.8,9014,83.0,6.3,87500,7225,3.05,18462,40506,15.7,285,2980,1.8,1193,1385,14.9,0.0,0.0,0.0,0.0,0.0,0,0,124707,5804,10757,16,622.58,36.8
01009,57826,57322,0.9,57322,6.2,24.0,15.9,50.5,96.2,1.7,0.6,0.3,0.1,1.1,8.6,88.1,86.6,4.5,6.8,73.2,11.3,4019,33.5,24144,79.9,4.9,111500,20954,2.70,21185,45404,13.7,690,6345,-1.4,3544,4458,0.0,0.0,0.0,0.0,0.0,23.2,341544,0,319700,5622,20941,6,644.78,88.9
01011,10474,10915,-4.0,10914,6.8,21.2,14.6,45.6,27.2,69.7,0.9,0.2,0.8,1.1,7.6,22.6,84.4,4.5,5.1,72.0,14.4,830,28.3,4447,79.6,10.1,68000,3760,2.78,20678,31955,26.0,113,0,0.0,478,417,0.0,0.0,0.0,0.0,0.0,38.8,0,0,43810,3995,3670,0,622.81,17.5
01013,20307,20946,-3.1,20947,6.1,23.1,17.4,53.2,54.4,43.5,0.3,1.0,0.0,0.7,1.2,53.7,93.0,1.0,1.6,74.7,12.4,1629,23.9,9899,71.1,13.8,74300,8090,2.55,17091,31273,25.7,411,5354,-3.3,1259,1769,0.0,0.0,3.3,0.0,0.0,0.0,399132,56712,229277,11326,28427,9,776.83,27.0
01015,117296,118572,-1.1,118572,6.1,22.7,15.2,51.8,76.0,21.0,0.5,0.8,0.1,1.6,3.5,73.2,83.5,2.3,4.5,77.9,15.8,11564,22.2,53347,70.1,13.8,99600,45923,2.50,20903,39467,20.4,2333,36093,-2.3,6387,8713,7.2,0.0,1.6,0.0,0.5,24.7,2679991,0,1542981,13678,186533,71,605.87,195.7
